strategy_name,deployable,selection_timing,uses_validation_loss,uses_realized_test_inventory,uses_future_test_demand,oracle_type,switching_cost_in_selection,switching_cost_in_evaluation,hard_switch_budget,fallback_possible,fallback_type,online_update,leakage_risk,notes
Individual Fixed Model Baselines,True,Fixed before test evaluation,False,False,False,none,None,Included as zero within-strategy switching,False,False,none,False,Low,One candidate model is held fixed for the full test horizon.
Global Best,True,Validation-time global model choice,WAPE only,False,False,none,None,Included as zero within-strategy switching,False,False,none,False,Low,Accuracy-first baseline selected by validation WAPE.
Family Best,True,Validation-time group model choice,WAPE only,False,False,none,None,Included as zero within each series,False,True,global_best_model_fallback,False,Low,Missing family mappings fall back to Global Best.
Simple Ensemble,True,Fixed forecast composition before evaluation,False,False,False,none,No discrete switching,Included as zero because selected model is constant,False,False,none,False,Low,Equal-weight ensemble with no outcome access.
Operational-Loss Ensemble,True,Validation-time weight estimation,True,False,False,none,No discrete switching,Included as zero because selected model is constant,False,True,equal_weight_fallback,False,Low,Weights are based on validation normalized planning loss.
Best Inventory Cost,True,Validation-time fixed model choice,True,False,False,none,None,Included as zero within-strategy switching,False,True,validation_wape_fallback,False,Low,Selects the model with lowest validation inventory cost when available.
Best Stability,True,Validation-time fixed model choice,Validation stability only,False,False,none,None,Included as zero within-strategy switching,False,True,global_best_model_fallback,False,Low,Over-stable reference for planning-signal volatility.
Stability-Aware Selector,True,Stateful one-step selection by series,WAPE only,False,False,none,Soft lambda_switch penalty,Included through model_switch_flag and lambda_switch,False,False,none,True,Low,Switches only when one-step stability-aware score improves.
Feasibility-Aware Selector,True,Stateful one-step selection by series,True,False,False,none,Soft lambda_switch penalty,Included through model_switch_flag and lambda_switch,False,False,none,True,Low,Uses validation-derived expected forecast and inventory costs plus transition burden.
Greedy Feasibility Selector,True,One-step current-period operational-cost minimization,True,False,False,none,Soft lambda_switch penalty,Included through model_switch_flag and lambda_switch,False,False,none,True,Low,Deployable selector with no realized test outcomes in the selection frame.
DP Feasibility Selector,True,Finite-horizon path selection before execution,True,False,False,none,Soft lambda_switch penalty in DP objective,Included through model_switch_flag and lambda_switch,False,False,none,False,Low,Deployable DP uses validation-derived expected costs and forecast-implied transitions.
Budgeted DP Feasibility Selector,True,Finite-horizon path selection before execution,True,False,False,none,Soft lambda_switch penalty plus hard switch-count state,Included through model_switch_flag and lambda_switch,True,True,incumbent_stays,False,Low,"If no budget-feasible path remains, incumbent-stays fallback keeps the pipeline evaluable; it is budget-compliant when the incumbent remains available and is marked potentially non-strict if the incumbent is missing later."
Smoothed Fixed-Alpha Planning,True,Stateful one-step selection with configured smoothing alpha,True,False,False,none,Soft lambda_switch penalty before smoothing,Included through model_switch_flag and lambda_switch,False,False,none,True,Low,Smoothing changes the executed planning signal gradually.
Scenario-Alpha Smoothing,True,Stateful one-step selection with scenario-configured smoothing alpha,True,False,False,none,Soft lambda_switch penalty before smoothing,Included through model_switch_flag and lambda_switch,False,False,none,True,Low,Lower adaptation speed can be configured for higher execution-risk scenarios.
Utility-Alpha Smoothing,True,Validation-CV alpha choice before test evaluation,True,False,False,none,Soft lambda_switch penalty before smoothing,Included through model_switch_flag and lambda_switch,False,True,default_alpha_fallback,True,Low,Blocked validation CV chooses alpha from a small interpretable grid.
Accuracy-Weighted Ensemble,True,Validation-time weight estimation,WAPE only,False,False,none,No discrete switching,Included as zero because selected model is constant,False,True,equal_weight_fallback,False,Low,Nonnegative model weights are based on inverse validation forecast error.
Operational-Loss Weighted Ensemble,True,Validation-time weight estimation,True,False,False,none,No discrete switching,Included as zero because selected model is constant,False,True,equal_weight_fallback,False,Low,Nonnegative model weights are based on validation normalized planning loss.
Constrained Feasibility Ensemble,True,Validation-CV blend selection before test evaluation,True,False,False,none,No discrete switching,Included as zero because selected model is constant,False,True,operational_or_accuracy_weight_fallback,False,Low,Transparent nonnegative ensemble with weights constrained to sum to one.
Realized-Inventory Oracle DP,False,Finite-horizon diagnostic after test inventory outcomes are known,True,True,Indirect via realized inventory outcomes,realized_inventory_oracle,Soft lambda_switch penalty in Oracle DP objective,Included through model_switch_flag and lambda_switch,False,False,none,False,Intentional non-deployable oracle,"Uses period-specific realized test inventory cost keyed by series, model, and date; not a perfect-forecast oracle."
Realized Demand Oracle,False,Diagnostic after realized test demand is known,False,True,True,perfect_demand_oracle,None,Included as zero because selected model is constant,False,False,none,False,Intentional non-deployable oracle,Uses realized demand as the forecast and is a separate perfect-demand diagnostic.
